run_name,agent,scenario,eval_mean_reward,eval_std_reward,eval_mean_delivered,eval_mean_spoiled,wall_time_s
qlearning_v1,q_learning,weekday,-448.95199999999994,406.27327260355185,72.0,243.8,17.386260986328125
dqn_v1,dqn,weekday,-506.2876,453.33753366497245,66.6,239.2,1607.8412811756134
qlearning_v1,q_learning,weekday,-536.8215999999999,411.26767023611274,65.2,241.8,28.87796711921692
qlearning_v1,q_learning,weekday,-571.2315999999998,220.83691235443408,60.8,242.2,28.70624876022339
sarsa_v1,sarsa,weekday,-664.1716,234.88040269856495,51.4,236.2,25.563253164291382
qlearning_v1,q_learning,weekday,-752.8680000000002,239.8540115620334,49.6,252.2,16.61579179763794
qlearning_v2_explored,q_learning,weekday,-775.2044000000001,357.2436809426305,49.2,253.2,28.02572512626648
qlearning_v1,q_learning,weekday,-987.9115999999998,220.91253639175838,38.4,273.8,18.49609613418579
qlearning_v2_explored,q_learning,weekday,-994.6132000000001,306.3424966369506,38.8,277.8,17.980618000030518
_smoke_test,q_learning,weekday,-1513.5073333333332,166.45670003003474,11.666666666666666,320.6666666666667,1.445572853088379
dqn_v2_holiday,dqn,holiday_rush,-4592.154799999999,394.22962463944725,118.8,1166.8,1532.83598279953
